Channel 1,Name of channel,Country,Category,Language,Channel ID,full url 1 with Video ID,full url 2 with Video ID
11,NDTV India,India,National News,Hindi,UC9CYT9gSNLevX5ey2_6CK0Q,https://www.youtube.com/watch?v=4jOOCvOzoDg,https://www.youtube.com/watch?v=1vWmrxP_-iY
12,NDTV Profit Hindi,India,National News,Hindi,UCiThge5Gve5Syt299i2bsxA,https://www.youtube.com/watch?v=46KgZ9oKqok,https://www.youtube.com/watch?v=EN-N1xhtBqU
13,Zee News,India,National News,Hindi,UCIvaYmXn910QMdemBG3v1pQ,https://www.youtube.com/watch?v=tohGF06LhKs,
14,Republic Bharat,India,National News,Hindi,UC7wXt18f2iA3EDXeqAVuKng,https://www.youtube.com/watch?v=l-9m8oPfeP4,https://www.youtube.com/watch?v=r8qBN7U2PhY
15,ABP News,India,National News,Hindi,UCRWFSbif-RFENbBrSiez1DA,https://www.youtube.com/watch?v=eB7AgvXN1gM,https://www.youtube.com/watch?v=aC4hOvf1Ipg
16,News18 India,India,National News,Hindi,UCPP3etACgdUWvizcES1dJ8Q,https://www.youtube.com/watch?v=ABW_URLKoG8,https://www.youtube.com/watch?v=WmLXBhxpImU
17,TV9 Bharatvarsh,India,National News,Hindi,UCOutOIcn_oho8pyVN3Ng-Og,https://www.youtube.com/watch?v=z6XItxZ9y3Y,https://www.youtube.com/watch?v=Q23McoqfcsU
18,Times Now Navbharat,India,National News,Hindi,UCMk9Tdc-d1BIcAFaSppiVkw,https://www.youtube.com/watch?v=SvzT96M3Ky4,https://www.youtube.com/watch?v=a9iMYyju1gY
19,Polimer News,India,State News,Tamil,UC8Z-VjXBtDJTvq6aqkIskPg,https://www.youtube.com/watch?v=_hAlDQOPkgE,https://www.youtube.com/watch?v=J3jFKoGu9zE
20,Puthiya Thalaimurai,India,State News,Tamil,UCmyKnNRH0wH-r8I-ceP-dsg,https://www.youtube.com/watch?v=PMOhxFY_niM,https://www.youtube.com/watch?v=0oOj5H2RY0E
21,Sun News,India,State News,Tamil,UCYlh4lH762HvHt6mmiecyWQ,https://www.youtube.com/watch?v=-Nd-TKxsz0A,
22,Thanthi TV,India,State News,Tamil,UC-JFyL0zDFOsPMpuWu39rPA,https://www.youtube.com/watch?v=QEDkZXh2wOU,https://www.youtube.com/watch?v=70SpCnFmcVY
23,News18 Tamil Nadu,India,State News,Tamil,UCat88i6_rELqI_prwvjspRA,https://www.youtube.com/watch?v=gTutqN96xUU,https://www.youtube.com/watch?v=gDjCpKiO34A
